"Station Name","HAMILTON RBG CS"
"Province","ONTARIO"
"Latitude","43.29"
"Longitude","-79.91"
"Elevation","102.00"
"Climate Identifier","6153301"
"WMO Identifier","71297"
"TC Identifier","XHM"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-06-01 00:00","2015","06","01","00:00"," ","8.3","","5.0","","80","","5","","11","","","","100.97","","","","","","NA"
"2015-06-01 01:00","2015","06","01","01:00"," ","8.5","","4.9","","78","","8","","8","","","","100.93","","","","","","NA"
"2015-06-01 02:00","2015","06","01","02:00"," ","8.8","","4.9","","77","","6","","7","","","","100.91","","","","","","NA"
"2015-06-01 03:00","2015","06","01","03:00"," ","8.8","","5.0","","77","","6","","5","","","","100.87","","","","","","NA"
"2015-06-01 04:00","2015","06","01","04:00"," ","8.9","","5.4","","78","","4","","5","","","","100.85","","","","","","NA"
"2015-06-01 05:00","2015","06","01","05:00"," ","9.0","","5.9","","81","","11","","3","","","","100.92","","","","","","NA"
"2015-06-01 06:00","2015","06","01","06:00"," ","9.4","","4.6","","72","","2","","7","","","","100.92","","","","","","NA"
"2015-06-01 07:00","2015","06","01","07:00"," ","10.1","","4.8","","70","","3","","9","","","","100.96","","","","","","NA"
"2015-06-01 08:00","2015","06","01","08:00"," ","11.0","","4.9","","66","","4","","9","","","","100.97","","","","","","NA"
"2015-06-01 09:00","2015","06","01","09:00"," ","11.8","","5.8","","67","","6","","12","","","","100.99","","","","","","NA"
"2015-06-01 10:00","2015","06","01","10:00"," ","12.4","","6.3","","66","","6","","4","","","","101.01","","","","","","NA"
"2015-06-01 11:00","2015","06","01","11:00"," ","12.1","","6.8","","70","","12","","8","","","","101.04","","","","","","NA"
"2015-06-01 12:00","2015","06","01","12:00"," ","13.9","","8.3","","69","","13","","9","","","","101.01","","","","","","NA"
"2015-06-01 13:00","2015","06","01","13:00"," ","13.4","","7.1","","66","","11","","10","","","","100.99","","","","","","NA"
"2015-06-01 14:00","2015","06","01","14:00"," ","13.7","","7.0","","64","","7","","7","","","","100.98","","","","","","NA"
"2015-06-01 15:00","2015","06","01","15:00"," ","13.3","","7.2","","67","","14","","7","","","","100.97","","","","","","NA"
"2015-06-01 16:00","2015","06","01","16:00"," ","14.4","","7.4","","63","","8","","5","","","","100.95","","","","","","NA"
"2015-06-01 17:00","2015","06","01","17:00"," ","14.2","","7.9","","66","","8","","7","","","","100.93","","","","","","NA"
"2015-06-01 18:00","2015","06","01","18:00"," ","13.7","","7.8","","68","","7","","6","","","","100.94","","","","","","NA"
"2015-06-01 19:00","2015","06","01","19:00"," ","12.8","","7.4","","70","","6","","6","","","","100.97","","","","","","NA"
"2015-06-01 20:00","2015","06","01","20:00"," ","11.6","","7.9","","78","","1","","3","","","","100.98","","","","","","NA"
"2015-06-01 21:00","2015","06","01","21:00"," ","10.9","","8.5","","85","","0","","1","","","","101.01","","","","","","NA"
"2015-06-01 22:00","2015","06","01","22:00"," ","9.9","","8.1","","89","","","","0","","","","100.98","","","","","","NA"
"2015-06-01 23:00","2015","06","01","23:00"," ","8.8","","7.6","","92","","30","","1","","","","100.96","","","","","","NA"
"2015-06-02 00:00","2015","06","02","00:00"," ","7.9","","6.9","","93","","","","0","","","","100.96","","","","","","NA"
"2015-06-02 01:00","2015","06","02","01:00"," ","7.3","","6.3","","94","","26","","2","","","","100.96","","","","","","NA"
"2015-06-02 02:00","2015","06","02","02:00"," ","7.0","","6.1","","94","","0","","1","","","","100.94","","","","","","NA"
"2015-06-02 03:00","2015","06","02","03:00"," ","6.8","","6.0","","95","","29","","3","","","","100.92","","","","","","NA"
"2015-06-02 04:00","2015","06","02","04:00"," ","6.5","","5.7","","95","","31","","2","","","","100.94","","","","","","NA"
"2015-06-02 05:00","2015","06","02","05:00"," ","6.0","","5.2","","95","","","","0","","","","100.94","","","","","","NA"
"2015-06-02 06:00","2015","06","02","06:00"," ","7.1","","6.4","","95","","7","","1","","","","100.97","","","","","","NA"
"2015-06-02 07:00","2015","06","02","07:00"," ","11.9","","9.6","","85","","15","","3","","","","101.00","","","","","","NA"
"2015-06-02 08:00","2015","06","02","08:00"," ","12.9","","8.3","","74","","11","","9","","","","101.06","","","","","","NA"
"2015-06-02 09:00","2015","06","02","09:00"," ","12.7","","7.8","","72","","12","","11","","","","101.09","","","","","","NA"
"2015-06-02 10:00","2015","06","02","10:00"," ","13.1","","8.0","","71","","11","","10","","","","101.10","","","","","","NA"
"2015-06-02 11:00","2015","06","02","11:00"," ","14.4","","8.0","","65","","8","","8","","","","101.08","","","","","","NA"
"2015-06-02 12:00","2015","06","02","12:00"," ","15.0","","8.8","","67","","12","","9","","","","101.05","","","","","","NA"
"2015-06-02 13:00","2015","06","02","13:00"," ","15.1","","8.0","","63","","11","","9","","","","101.02","","","","","","NA"
"2015-06-02 14:00","2015","06","02","14:00"," ","16.9","","8.7","","58","","15","","8","","","","100.96","","","","","","NA"
"2015-06-02 15:00","2015","06","02","15:00"," ","18.0","","8.1","","53","","14","","9","","","","100.90","","","","","","NA"
"2015-06-02 16:00","2015","06","02","16:00"," ","17.3","","8.2","","55","","8","","9","","","","100.88","","","","","","NA"
"2015-06-02 17:00","2015","06","02","17:00"," ","17.5","","7.2","","51","","8","","8","","","","100.83","","","","","","NA"
"2015-06-02 18:00","2015","06","02","18:00"," ","17.1","","6.8","","51","","8","","7","","","","100.82","","","","","","NA"
"2015-06-02 19:00","2015","06","02","19:00"," ","16.2","","6.3","","52","","7","","4","","","","100.86","","","","","","NA"
"2015-06-02 20:00","2015","06","02","20:00"," ","13.2","","7.6","","69","","7","","7","","","","100.92","","","","","","NA"
"2015-06-02 21:00","2015","06","02","21:00"," ","10.9","","7.5","","80","","4","","2","","","","100.98","","","","","","NA"
"2015-06-02 22:00","2015","06","02","22:00"," ","9.1","","7.5","","89","","0","","1","","","","100.98","","","","","","NA"
"2015-06-02 23:00","2015","06","02","23:00"," ","8.3","","6.9","","91","","","","0","","","","100.97","","","","","","NA"
"2015-06-03 00:00","2015","06","03","00:00"," ","7.8","","6.6","","93","","0","","1","","","","100.98","","","","","","NA"
"2015-06-03 01:00","2015","06","03","01:00"," ","7.1","","6.1","","93","","34","","1","","","","101.00","","","","","","NA"
"2015-06-03 02:00","2015","06","03","02:00"," ","6.5","","5.5","","94","","26","","2","","","","100.99","","","","","","NA"
"2015-06-03 03:00","2015","06","03","03:00"," ","6.2","","5.4","","94","","","","0","","","","101.00","","","","","","NA"
"2015-06-03 04:00","2015","06","03","04:00"," ","5.7","","4.9","","95","","0","","1","","","","100.99","","","","","","NA"
"2015-06-03 05:00","2015","06","03","05:00"," ","5.6","","4.9","","95","","0","","1","","","","101.04","","","","","","NA"
"2015-06-03 06:00","2015","06","03","06:00"," ","9.2","","8.5","","95","","8","","2","","","","101.08","","","","","","NA"
"2015-06-03 07:00","2015","06","03","07:00"," ","12.3","","7.9","","75","","9","","5","","","","101.09","","","","","","NA"
"2015-06-03 08:00","2015","06","03","08:00"," ","12.7","","8.1","","74","","14","","10","","","","101.10","","","","","","NA"
"2015-06-03 09:00","2015","06","03","09:00"," ","13.9","","8.6","","70","","13","","9","","","","101.07","","","","","","NA"
"2015-06-03 10:00","2015","06","03","10:00"," ","13.6","","9.7","","77","","14","","12","","","","101.05","","","","","","NA"
"2015-06-03 11:00","2015","06","03","11:00"," ","13.3","","9.0","","75","","14","","13","","","","101.06","","","","","","NA"
"2015-06-03 12:00","2015","06","03","12:00"," ","12.9","","8.8","","76","","12","","12","","","","101.02","","","","","","NA"
"2015-06-03 13:00","2015","06","03","13:00"," ","13.9","","8.2","","69","","10","","10","","","","100.98","","","","","","NA"
"2015-06-03 14:00","2015","06","03","14:00"," ","13.6","","6.9","","64","","8","","15","","","","100.95","","","","","","NA"
"2015-06-03 15:00","2015","06","03","15:00"," ","14.6","","6.4","","58","","11","","11","","","","100.89","","","","","","NA"
"2015-06-03 16:00","2015","06","03","16:00"," ","14.6","","5.3","","54","","10","","12","","","","100.85","","","","","","NA"
"2015-06-03 17:00","2015","06","03","17:00"," ","14.3","","6.3","","58","","11","","12","","","","100.77","","","","","","NA"
"2015-06-03 18:00","2015","06","03","18:00"," ","14.2","","6.2","","59","","13","","6","","","","100.76","","","","","","NA"
"2015-06-03 19:00","2015","06","03","19:00"," ","14.7","","5.9","","55","","6","","9","","","","100.77","","","","","","NA"
"2015-06-03 20:00","2015","06","03","20:00"," ","13.3","","6.3","","62","","6","","5","","","","100.76","","","","","","NA"
"2015-06-03 21:00","2015","06","03","21:00"," ","11.0","","6.5","","74","","7","","1","","","","100.78","","","","","","NA"
"2015-06-03 22:00","2015","06","03","22:00"," ","9.5","","6.7","","83","","28","","2","","","","100.77","","","","","","NA"
"2015-06-03 23:00","2015","06","03","23:00"," ","9.3","","7.0","","85","","31","","2","","","","100.73","","","","","","NA"
"2015-06-04 00:00","2015","06","04","00:00"," ","8.2","","6.6","","90","","0","","1","","","","100.72","","","","","","NA"
"2015-06-04 01:00","2015","06","04","01:00"," ","7.6","","6.3","","92","","","","0","","","","100.69","","","","","","NA"
"2015-06-04 02:00","2015","06","04","02:00"," ","7.4","","6.3","","93","","","","0","","","","100.70","","","","","","NA"
"2015-06-04 03:00","2015","06","04","03:00"," ","7.0","","6.1","","94","","","","0","","","","100.69","","","","","","NA"
"2015-06-04 04:00","2015","06","04","04:00"," ","6.4","","5.5","","94","","30","","2","","","","100.66","","","","","","NA"
"2015-06-04 05:00","2015","06","04","05:00"," ","6.5","","5.7","","95","","32","","2","","","","100.71","","","","","","NA"
"2015-06-04 06:00","2015","06","04","06:00"," ","8.9","","8.1","","95","","0","","1","","","","100.74","","","","","","NA"
"2015-06-04 07:00","2015","06","04","07:00"," ","13.0","","8.5","","74","","8","","4","","","","100.80","","","","","","NA"
"2015-06-04 08:00","2015","06","04","08:00"," ","14.2","","9.1","","72","","13","","6","","","","100.84","","","","","","NA"
"2015-06-04 09:00","2015","06","04","09:00"," ","15.7","","9.3","","66","","10","","7","","","","100.85","","","","","","NA"
"2015-06-04 10:00","2015","06","04","10:00"," ","16.5","","10.2","","66","","14","","9","","","","100.80","","","","","","NA"
"2015-06-04 11:00","2015","06","04","11:00"," ","18.1","","11.3","","64","","10","","8","","","","100.75","","","","","","NA"
